epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
71,6406.97,0.99103,0.522,1.23126,0.96481,0.98629,0.96814,0.71002,1.00587,0.39651,1.08467,0.00864648,0.00864648,0.00864648
72,6496.18,0.99244,0.51906,1.23011,0.96218,0.98708,0.97825,0.7295,0.99684,0.39245,1.08755,0.00862715,0.00862715,0.00862715
73,6586.91,0.99452,0.52842,1.2392,0.96376,0.98143,0.9776,0.72198,0.99882,0.39731,1.10162,0.00860781,0.00860781,0.00860781
74,6677.16,0.99901,0.51978,1.23928,0.96084,0.98339,0.9765,0.71915,0.9932,0.39303,1.1,0.00858848,0.00858848,0.00858848
75,6767.97,0.99669,0.51671,1.22922,0.96044,0.98548,0.97345,0.72381,1.01003,0.38625,1.08827,0.00856914,0.00856914,0.00856914
76,6857.72,0.9995,0.522,1.23794,0.96708,0.97786,0.97661,0.70328,1.02373,0.40785,1.09509,0.0085498,0.0085498,0.0085498
77,6949.17,1.01331,0.52635,1.24591,0.96468,0.98278,0.98044,0.72729,1.00944,0.3924,1.07301,0.00853047,0.00853047,0.00853047
78,7038.9,1.00273,0.51795,1.23351,0.95967,0.98524,0.981,0.72993,0.99374,0.37725,1.07511,0.00851113,0.00851113,0.00851113
79,7129.58,1.01131,0.51932,1.24215,0.96337,0.9797,0.97979,0.73009,1.00424,0.39013,1.074,0.0084918,0.0084918,0.0084918
80,7219.77,0.99798,0.52421,1.23584,0.96118,0.98524,0.97436,0.71553,1.00574,0.40203,1.09662,0.00847246,0.00847246,0.00847246
81,7310.51,1.01036,0.52454,1.24168,0.96042,0.98487,0.97988,0.72529,1.02912,0.39322,1.09039,0.00845313,0.00845313,0.00845313
82,7401,1.00484,0.524,1.23568,0.96642,0.98241,0.97712,0.73381,0.9925,0.39245,1.09149,0.00843379,0.00843379,0.00843379
83,7492.55,0.99435,0.5223,1.23028,0.96225,0.98753,0.97714,0.72689,1.01949,0.39128,1.08277,0.00841445,0.00841445,0.00841445
84,7583.35,0.98264,0.51341,1.22801,0.96136,0.98706,0.98188,0.73705,0.99858,0.39022,1.08967,0.00839512,0.00839512,0.00839512
85,7673.45,0.99209,0.5195,1.23071,0.96464,0.98152,0.97964,0.72386,1.00554,0.39216,1.08171,0.00837578,0.00837578,0.00837578
86,7763.31,0.99438,0.5148,1.2341,0.96835,0.98063,0.97924,0.73033,1.01184,0.39387,1.0965,0.00835645,0.00835645,0.00835645
87,7854.03,0.98175,0.51447,1.22978,0.96637,0.9808,0.97353,0.72088,0.99668,0.38309,1.09108,0.00833711,0.00833711,0.00833711
88,7944.59,0.98998,0.5164,1.23182,0.96553,0.98185,0.97439,0.7204,1.00332,0.38409,1.09457,0.00831777,0.00831777,0.00831777
89,8034.7,0.99617,0.51563,1.23317,0.96307,0.98708,0.97332,0.71614,1.01635,0.393,1.09643,0.00829844,0.00829844,0.00829844
90,8124.9,1.00017,0.51688,1.23666,0.96243,0.98801,0.97771,0.72342,1.00805,0.38947,1.08691,0.0082791,0.0082791,0.0082791
91,8214.78,1.00322,0.51562,1.23995,0.95886,0.98616,0.97847,0.72764,0.99736,0.37777,1.08948,0.00825977,0.00825977,0.00825977
92,8304.68,0.99406,0.51758,1.23133,0.96626,0.97752,0.97645,0.72066,1.01835,0.38878,1.07064,0.00824043,0.00824043,0.00824043
